Number,Name,Start
M0,measure43,3.3.12
M1,IIA,5.0.68
M2,measure45,7.5.25
M3,measure47,10.6.42
M4,measure48,12.5.5
M5,measure49,14.5.21
M6,measure50,15.5.57
M7,measure51,20.1.10
M8,measure52,23.3.75
M9,measure55,28.7.96
M10,measure56,31.0.59
M11,measure59,38.0.69
M12,measure60,39.1.37
M13,measure61,40.2.71
M14,measure62,41.5.71
M15,measure63,42.7.51
M16,measure64,45.7.89
M17,measure65,49.0.97
M18,measure66,50.6.72
M19,measure67,55.2.15
M20,measure68,68.5.38
M21,IID,87.0.69
M22,measure74,92.4.85
M23,measure76,108.3.3
M24,measure78,116.0.47
M25,measure79,125.1.29
M26,measure81,153.4.5
M27,measure82,162.6.17
M28,measure84,178.0.40
M29,measure85,180.5.58
M30,measure86,190.7.40
M31,measure87,198.5.54
M32,measure88,205.1.79
M33,measure89,205.4.29
M34,measure90,206.6.23
M35,measure91,214.6.4
M36,measure92,224.3.78
M37,measure93,232.6.14
M38,measure94,239.0.34
M39,measure96,247.6.70
M40,measure97,256.5.1
M41,measure98,265.4.99
