Number,Name,Start
M0,IA_measure1,0.1.76
M1,measure3,5.4.67
M2,measure5,10.0.29
M3,measure6,12.2.3
M4,measure7,14.4.14
M5,measure8,16.4.63
M6,measure9,18.6.32
M7,measure13,29.1.3
M8,measure14,32.6.33
M9,measure15,34.3.57
M10,measure16,37.7.76
M11,measure17,40.0.76
M12,measure18,42.3.33
M13,measure20,45.2.46
M14,measure22,50.6.39
M15,measure23,53.3.75
M16,measure24,56.6.41
M17,measure25,59.3.45
M18,measure26,61.1.61
M19,measure27,63.6.32
M20,measure29,68.3.75
M21,measure30,70.6.98
M22,measure31,73.0.86
M23,measure32,74.5.58
M24,measure33,75.6.18
M25,measure34,77.2.2
M26,measure35,80.5.9
M27,measure36,83.6.45
M28,measure39,92.6.75
M29,measure40,95.7.18
M30,measure42,99.6.99
