Number,Name,Start
M0,measure42,0.0.37
M1,measure43,3.1.54
M2,IIA,8.3.5
M3,measure45,11.0.28
M4,measure47,18.3.72
M5,measure48,22.2.88
M6,measure49,25.1.40
M7,measure50,26.0.84
M8,measure51,30.3.85
M9,measure52,33.5.86
M10,measure53,43.0.35
M11,measure54,43.4.90
M12,measure55,46.5.70
M13,measure56,52.2.70
M14,measure59,55.0.15
M15,measure60,57.1.43
M16,measure61,58.3.32
M17,measure62,60.0.83
M18,measure63,61.5.88
M19,measure64,64.0.88
M20,measure65,89.5.72
M21,measure66,90.3.11
M22,measure67,95.0.40
M23,measure68,99.0.21
M24,IID,113.0.97
M25,measure74,114.4.2
M26,measure75,118.0.49
M27,measure76,138.5.31
M28,measure78,152.6.94
M29,measure79,157.1.73
M30,measure81,173.0.0
M31,measure82,180.6.18
